"nms873"	"n616_ad4_zscore"	"cons"
"ZINC0003824868"	0.233832606	NA	NA
"ZINC00038253214"	0.677876049	-0.586560125	0.091315924
"ZINC00038256220"	1.47610729	NA	NA
"ZINC00038258289"	1.219235099	-0.094635507	1.124599592
"ZINC0003826221"	1.054658524	NA	NA
"ZINC0003826253"	0.843014674	NA	NA
"ZINC0003827029"	0.365816943	-0.640617775	-0.274800832
"ZINC0003827362"	0.068595665	-0.840631081	-0.772035416
"ZINC0003828042"	0.246411457	-0.245996928	0.000414528999999997
"ZINC0003828115"	0.138970321	-0.981180972	-0.842210651
"ZINC0003829025"	NA	-0.094635507	NA
"ZINC0003830212"	0.824380295	-0.921717557	-0.097337262
"ZINC0003830215"	0.630478692	-0.105447038	0.525031654
"ZINC0003830218"	0.493218441	-0.073012447	0.420205994
"ZINC0003830263  "	0.408387405	NA	NA
"ZINC0003830321"	0.453473535	-0.921717557	-0.468244022
"ZINC0003830339"	NA	-1.024427092	NA
"ZINC0003830375"	NA	-1.197411573	NA
"ZINC0003830394"	0.791625058	-0.045983622	0.745641436
"ZINC0003830397"	0.828528155	NA	NA
"ZINC0003830405"	0.444084603	NA	NA
"ZINC0003830417"	0.39646732	-0.018954797	0.377512523
"ZINC0003830421  "	0.681173862	NA	NA
"ZINC0003830428"	1.017372522	NA	NA
"ZINC0003830432"	0.767882732	NA	NA
"ZINC0003830434"	1.012780679	-0.424387174	0.588393505
"ZINC0003830437"	0.468246431	NA	NA
"ZINC0003830445"	0.832061284	-0.375735289	0.456325995
"ZINC0003830449"	0.25460396	-0.116258568	0.138345392
"ZINC0003830467"	1.040931876	NA	NA
"ZINC0003830469"	0.747730382	NA	NA
"ZINC0003830485"	0.299563628	NA	NA
"ZINC0003830500"	0.185811224	NA	NA
"ZINC0003830501"	0.185811224	NA	NA
"ZINC0003830507"	0.117419894	NA	NA
"ZINC0003830511"	0.425126886	NA	NA
"ZINC0003830512"	0.425126886	NA	NA
"ZINC0003830515"	0.113356817	NA	NA
"ZINC0003830635"	0.144834527	-0.440604469	-0.295769942
"ZINC0003830706"	NA	-0.121664333	NA
"ZINC0003830747"	0.95901267	-0.975775207	-0.016762537
"ZINC0003830820"	NA	-0.018954797	NA
"ZINC0003830847"	0.133105453	-0.429792939	-0.296687486
"ZINC0003830847z"	0.191937974	NA	NA
"ZINC0003830882"	1.425340026	NA	NA
"ZINC0003830916"	0.175068655	-0.910906027	-0.735837372
"ZINC0003830942"	NA	-0.262214223	NA
"ZINC0003830947"	0.895942632	-0.429792939	0.466149693
"ZINC0003830999"	0.183802675	-0.273025753	-0.089223078
"ZINC0003831000"	0.183802675	-0.402764114	-0.218961439
"ZINC0003831001"	0.249016121	-0.137881628	0.111134493
"ZINC0003831070"	0.613953231	NA	NA
"ZINC0003831116"	0.128440166	NA	NA
"ZINC0003831128"	0.654174971	NA	NA
"ZINC0003831128z"	0.657853914	NA	NA
"ZINC0003831151"	1.379797614	-1.024427092	0.355370522
"ZINC0003831157"	0.811270396	NA	NA
"ZINC0003831168"	0.734603514	NA	NA
"ZINC0003831199  "	1.473424052	NA	NA
"ZINC0003831241"	0.614932541	NA	NA
"ZINC0003831282"	0.449691105	NA	NA
"ZINC0003831317"	0.799594739	NA	NA
"ZINC0003831332"	0.696684186	-1.121730863	-0.425046677
"ZINC0003831345"	0.88946545	-1.321744169	-0.432278719
"ZINC0003831403"	0.53660655	-0.143287393	0.393319157
"ZINC0003831405"	0.53660655	-0.959557912	-0.422951362
"ZINC0003831417"	NA	-0.575748595	NA
"ZINC0003831425"	0.804265581	NA	NA
"ZINC0003831445"	NA	-0.840631081	NA
"ZINC0003831462"	0.577605919	NA	NA
"ZINC0003832372  "	0.963574119	NA	NA
"ZINC00038336973"	1.735551618	-1.651495836	0.0840557819999999
"ZINC0003833823"	0.527150857	-0.60277742	-0.075626563
"ZINC0003833846"	1.453310675	-1.721770781	-0.268460106
"ZINC0003833876"	0.559271121	NA	NA
"ZINC0003834032"	0.245763167	NA	NA
"ZINC0003842037"	NA	-0.278431518	NA
"ZINC0003842037  "	1.288151841	NA	NA
"ZINC0003842433"	0.907947959	-0.986586737	-0.078638778
"ZINC00038424637  "	0.26940752	NA	NA
"ZINC0003842753"	0.244019052	NA	NA
"ZINC0003842798"	NA	-1.067673213	NA
"ZINC0003842798  "	1.110433543	NA	NA
"ZINC0003842872"	1.668772654	-0.218968103	1.449804551
"ZINC0003843198"	0.361216852	NA	NA
"ZINC00038460704"	0.596754789	NA	NA
"ZINC00038467831"	NA	-1.083890508	NA
"ZINC00038467831  "	1.26105053	NA	NA
"ZINC0003847505"	NA	-0.240591163	NA
"ZINC00038493164"	0.843014674	-0.029766327	0.813248347
"ZINC00038545"	NA	-0.116258568	NA
"ZINC00038562120"	NA	-0.943340617	NA
"ZINC00038562120  "	1.473785264	NA	NA
"ZINC00038595418"	0.389260317	-0.073012447	0.31624787
"ZINC0003860369"	0.004158181	NA	NA
"ZINC0003860453"	0.160025683	-0.58115436	-0.421128677
"ZINC0003860825"	0.201676306	-0.943340617	-0.741664311
"ZINC0003860856"	0.498262455	-1.002804032	-0.504541577
"ZINC0003860918"	1.014074749	-0.300054579	0.71402017
"ZINC0003860956"	0.427500642	-0.267619988	0.159880654
"ZINC0003860973"	0.009540147	-0.224373868	-0.214833721
"ZINC0003861550"	0.553855967	-0.181127748	0.372728219
"ZINC0003861599"	0.397668771	-0.105447038	0.292221733
"ZINC0003861630"	0.14414345	-0.500067885	-0.355924435
"ZINC0003861742"	0.871615193	NA	NA
"ZINC0003861755  "	0.800475922	NA	NA
"ZINC0003861768"	NA	-0.100041272	NA
"ZINC0003861806"	0.724756344	NA	NA
"ZINC00038628584"	0.833834261	NA	NA
"ZINC000386312"	NA	-0.289243048	NA
"ZINC00038662649  "	0.495286887	NA	NA
"ZINC0003869608"	NA	-0.305460344	NA
"ZINC0003869685"	0.360787016	NA	NA
"ZINC0003869768"	0.167598825	NA	NA
"ZINC0003869855"	0.413647113	-0.57034283	-0.156695717
"ZINC0003869855z"	0.522797455	NA	NA
"ZINC0003869968"	0.140096843	-0.727110016	-0.587013173
"ZINC0003870412"	1.117705383	-0.478444824	0.639260559
"ZINC0003870533"	1.517305087	-1.116325098	0.400979989
"ZINC0003871023"	0.750800892	-0.835225316	-0.0844244240000001
"ZINC0003871503"	NA	-0.154098923	NA
"ZINC0003871576"	NA	-0.446010234	NA
"ZINC0003871633"	0.058770614	-0.446010234	-0.38723962
"ZINC0003871674"	0.189961109	NA	NA
"ZINC0003871698"	0.851315139	-0.408169879	0.44314526
"ZINC0003871701"	0.382302412	NA	NA
"ZINC0003871771"	NA	-0.278431518	NA
"ZINC0003871838"	NA	-0.202750808	NA
"ZINC0003871842"	NA	-0.743327311	NA
"ZINC0003871842  "	0.343632555	NA	NA
"ZINC0003871859"	0.230345679	-0.640617775	-0.410272096
"ZINC0003871945"	0.733012672	-0.040577857	0.692434815
"ZINC0003871960"	0.747730382	NA	NA
"ZINC0003871967"	0.278342007	NA	NA
"ZINC0003871970"	0.130495889	NA	NA
"ZINC0003872013"	0.05711112	-0.208156573	-0.151045453
"ZINC0003872016"	NA	-0.251402693	NA
"ZINC0003872016  "	1.187153086	NA	NA
"ZINC0003872055"	0.218663441	NA	NA
"ZINC0003872070"	NA	-0.53790824	NA
"ZINC0003872076"	0.21556627	-0.6676466	-0.45208033
"ZINC0003872170"	NA	-0.802790726	NA
"ZINC0003872275"	1.006446219	-0.294648814	0.711797405
"ZINC0003872305"	NA	-0.094635507	NA
"ZINC0003872446"	0.228366431	NA	NA
"ZINC0003872668"	NA	-0.235185398	NA
"ZINC0003872731"	NA	-0.045983622	NA
"ZINC0003872881"	NA	-0.57034283	NA
"ZINC0003872906"	NA	-0.50547365	NA
"ZINC0003872931  "	1.101082429	NA	NA
"ZINC0003873160"	NA	-0.029766327	NA
"ZINC0003873160  "	1.220541542	NA	NA
"ZINC0003873163"	NA	-0.402764114	NA
"ZINC0003873296"	0.41058286	-0.186533513	0.224049347
"ZINC0003873374"	0.175800467	NA	NA
"ZINC0003873638"	0.116723849	-0.402764114	-0.286040265
"ZINC0003873817"	0.43899164	-1.035238622	-0.596246982
"ZINC0003873879"	0.803924309	NA	NA
"ZINC0003873921"	1.134781136	NA	NA
"ZINC0003873936"	1.989455166	-1.229846163	0.759609003
"ZINC0003874199"	0.696684186	-1.073078978	-0.376394792
"ZINC0003874317"	0.476800692	-0.089229742	0.38757095
"ZINC0003874467"	NA	-1.981247502	NA
"ZINC0003874467  "	0.467700763	NA	NA
"ZINC0003874496"	NA	-0.029766327	NA
"ZINC0003874498"	0.471530292	NA	NA
"ZINC0003874580"	NA	-0.332489169	NA
"ZINC0003874585"	1.279850526	NA	NA
"ZINC0003874604"	0.893462102	NA	NA
"ZINC0003874626"	0.361809768	NA	NA
"ZINC0003874684"	NA	-0.348706464	NA
"ZINC0003874852  "	0.111510045	NA	NA
"ZINC0003874857"	NA	-0.402764114	NA
"ZINC0003874951"	NA	-0.045983622	NA
"ZINC0003875039"	1.078487597	NA	NA
"ZINC0003875041"	NA	-0.024360562	NA
"ZINC0003875259  "	1.108866142	NA	NA
"ZINC0003875334"	0.438980368	-0.629806245	-0.190825877
"ZINC0003875342"	NA	-0.056795152	NA
"ZINC0003875348"	0.440031442	-0.932529087	-0.492497645
"ZINC0003875355"	0.429646426	-0.332489169	0.0971572570000001
"ZINC0003875357"	0.358029376	NA	NA
"ZINC0003875376"	1.534244097	-0.932529087	0.60171501
"ZINC0003875393"	0.200396727	-0.327083404	-0.126686677
"ZINC0003875417"	0.541331572	NA	NA
"ZINC0003875439"	0.614932541	NA	NA
"ZINC0003875484"	0.122252992	NA	NA
"ZINC0003875959"	0.528216483	NA	NA
"ZINC0003875980"	0.734603514	NA	NA
"ZINC0003875992"	0.070720053	NA	NA
"ZINC0003875998"	0.456656765	-1.240657693	-0.784000928
"ZINC0003876"	0.26940752	-0.197345043	0.072062477
"ZINC0003876023"	0.628079915	-0.083823977	0.544255938
"ZINC0003876080"	0.654927099	-1.60284395	-0.947916851
"ZINC00038795123  "	0.671411549	NA	NA
"ZINC0003880"	0.502408472	-0.170316218	0.332092254
"ZINC0003881426"	0.506243543	NA	NA
"ZINC0003881558"	0.333322326	NA	NA
"ZINC0003881610"	0.430377664	NA	NA
"ZINC0003881614"	0.442607386	NA	NA
"ZINC0003881635"	0.41088244	-0.397358349	0.013524091
"ZINC0003881640"	0.415163222	-0.067606682	0.34755654
"ZINC0003881869"	0.522814167	NA	NA
"ZINC0003882036"	0.131654256	NA	NA
"ZINC0003882052"	0.204415006	NA	NA
"ZINC0003882101"	0.489724623	-1.110919333	-0.62119471
"ZINC0003882891"	0.746099764	NA	NA
"ZINC00038836256"	1.024183188	-1.608249715	-0.584066527
"ZINC0003884670"	0.015542425	NA	NA
"ZINC000388661"	NA	-0.078418212	NA
"ZINC00038897728"	0.858343058	-1.835291847	-0.976948789
"ZINC00039059267"	0.995488874	-0.467633294	0.52785558
"ZINC00039092"	0.311292041	-0.51628518	-0.204993139
"ZINC00039111"	0.224475756	-0.64602354	-0.421547784
"ZINC00039129916"	0.884574094	-1.024427092	-0.139852998
"ZINC0003913937"	0.88946545	NA	NA
"ZINC0003914617"	0.583043273	NA	NA
"ZINC0003914808"	0.703457418	-0.040577857	0.662879561
"ZINC0003914809"	0.703457418	-0.381141054	0.322316364
"ZINC0003914810"	0.680160918	NA	NA
"ZINC0003914813"	0.864881002	-1.305526874	-0.440645872
"ZINC0003915154"	0.147900454	-0.64602354	-0.498123086
"ZINC0003915436"	0.904257089	-1.678524661	-0.774267572
"ZINC0003916214"	1.27843218	-1.013615562	0.264816618
"ZINC0003916477"	NA	-0.083823977	NA
"ZINC0003917109"	0.777896534	-1.737988076	-0.960091542
"ZINC0003917708"	0.403499134	-0.58115436	-0.177655226
"ZINC0003918087"	0.385406347	-0.937934852	-0.552528505
"ZINC00039187987"	1.153047904	-0.781167666	0.371880238
"ZINC0003920020"	0.265649828	NA	NA
"ZINC0003920027"	0.129908359	NA	NA
"ZINC0003920266"	0.507406561	-0.683863896	-0.176457335
"ZINC0003920673"	0.461871986	-0.337894934	0.123977052
"ZINC0003920719"	1.608523339	NA	NA
"ZINC0003921872"	1.005659721	-1.55959783	-0.553938109
"ZINC0003922077"	0.790675338	-0.305460344	0.485214994
"ZINC0003922715"	1.365062443	NA	NA
"ZINC0003923836"	0.8637513	-1.775828431	-0.912077131
"ZINC0003924034"	1.404793208	-1.019021327	0.385771881
"ZINC0003924157"	0.647074755	-0.164910453	0.482164302
"ZINC0003924227"	1.199295439	-2.067739743	-0.868444304
"ZINC0003924558"	0.674986614	NA	NA
"ZINC0003925433"	1.083147612	-1.402830644	-0.319683032
"ZINC0003925861"	1.224412035	-0.727110016	0.497302019
"ZINC0003925861z"	1.227962221	NA	NA
"ZINC0003926844"	NA	-0.851442611	NA
"ZINC0003926844  "	1.068501659	NA	NA
"ZINC0003927200"	NA	-0.013549032	NA
"ZINC0003927311"	NA	-0.343300699	NA
"ZINC0003927311  "	1.382218605	NA	NA
"ZINC0003927450"	0.574055052	NA	NA
"ZINC0003927570"	NA	-2.073145508	NA
"ZINC0003927822"	NA	-2.202883869	NA
"ZINC0003927822  "	0.809833448	NA	NA
"ZINC0003927870"	0.440726333	NA	NA
"ZINC0003929022"	0.789225937	NA	NA
"ZINC0003929366"	0.558233952	-1.310932639	-0.752698687
"ZINC0003929486"	0.007762735	-0.60277742	-0.595014685
"ZINC0003929508"	NA	-0.127070098	NA
"ZINC0003929810"	1.045854537	-1.440671	-0.394816463
"ZINC000393"	NA	-0.051389387	NA
"ZINC0003930015"	1.623356368	-0.640617775	0.982738593
"ZINC0003930111  "	1.089220358	NA	NA
"ZINC0003930376"	0.925969321	NA	NA
"ZINC0003931527"	0.695533317	-0.64602354	0.049509777
"ZINC0003933041"	NA	-0.813602256	NA
"ZINC0003934935"	1.143958984	NA	NA
"ZINC0003935130"	0.699781789	NA	NA
"ZINC0003936307"	NA	-1.024427092	NA
"ZINC0003936307  "	1.15386051	NA	NA
"ZINC0003936683"	0.413744478	-0.710892721	-0.297148243
"ZINC0003936686"	NA	-0.700081191	NA
"ZINC0003936852"	0.129858836	-0.051389387	0.078469449
"ZINC0003936873"	0.805212243	-0.61358895	0.191623293
"ZINC0003937395"	0.739236855	-0.418981409	0.320255446
"ZINC0003938482"	0.992928752	-0.332489169	0.660439583
"ZINC0003938624"	0.51513986	-0.337894934	0.177244926
"ZINC0003938628"	0.481586489	-0.224373868	0.257212621
"ZINC0003938633"	0.417184703	-0.235185398	0.181999305
"ZINC0003938668"	0.839894614	-1.635278541	-0.795383927
"ZINC0003938676"	1.404376453	NA	NA
"ZINC0003938678"	0.179637894	-0.094635507	0.085002387
"ZINC0003938683"	0.270231277	-0.332489169	-0.062257892
"ZINC0003938684"	0.453371392	NA	NA
"ZINC0003938686"	1.143577031	-0.53790824	0.605668791
"ZINC0003938688"	1.17091629	-0.716298486	0.454617804
"ZINC0003938693"	0.611857557	-0.462227529	0.149630028
"ZINC0003938704"	0.385406347	-0.954152147	-0.5687458
"ZINC0003938713"	0.928282795	-0.418981409	0.509301386
"ZINC0003938744"	0.215269917	NA	NA
"ZINC0003938746"	0.28408436	-0.121664333	0.162420027
"ZINC0003938750"	0.471049894	-0.58115436	-0.110104466
"ZINC0003938751"	0.297441718	NA	NA
"ZINC00039389"	0.076404777	-0.418981409	-0.342576632
"ZINC0003938976"	0.575072951	-1.629872776	-1.054799825
"ZINC0003939013"	NA	-0.002737502	NA
"ZINC0003939013  "	1.026534677	NA	NA
"ZINC0003939153"	NA	-0.510879415	NA
"ZINC0003939153  "	1.565575042	NA	NA
"ZINC0003939511"	1.349105997	-0.332489169	1.016616828
"ZINC0003939935  "	1.128628089	NA	NA
"ZINC0003940643"	NA	-1.386613349	NA
"ZINC0003940643  "	1.276372718	NA	NA
"ZINC0003940873"	0.530740771	-0.045983622	0.484757149
"ZINC0003941"	NA	-0.191939278	NA
"ZINC0003941269"	NA	-0.905500262	NA
"ZINC0003941496"	1.041792486	-1.932595617	-0.890803131
"ZINC0003941829"	1.44074267	NA	NA
"ZINC0003942155"	1.434917255	-1.58122089	-0.146303635
"ZINC0003942646"	1.127612471	NA	NA
"ZINC0003943279"	1.381112426	NA	NA
"ZINC0003943279z"	1.43781948	NA	NA
"ZINC0003944221"	NA	-1.321744169	NA
"ZINC0003944221  "	1.335467601	NA	NA
"ZINC0003944422"	1.110321173	NA	NA
"ZINC0003945"	0.227524855	NA	NA
"ZINC0003945984"	0.328953028	NA	NA
"ZINC0003946509"	NA	-1.100107803	NA
"ZINC0003946509  "	0.954716276	NA	NA
"ZINC0003947564"	0.203870107	-0.029766327	0.17410378
"ZINC0003947932"	0.941032536	-0.781167666	0.15986487
"ZINC0003948085"	1.167153907	-0.819008021	0.348145886
"ZINC0003948997"	1.017160061	-0.208156573	0.809003488
"ZINC0003950115"	0.914678479	NA	NA
"ZINC0003950132"	0.490686667	-0.597371655	-0.106684988
"ZINC0003951631"	NA	-2.770489196	NA
"ZINC0003951631  "	0.769006649	NA	NA
"ZINC0003951739"	0.898026197	-0.045983622	0.852042575
"ZINC0003951740"	1.346001887	NA	NA
"ZINC0003952167"	NA	-1.60284395	NA
"ZINC0003952167  "	0.064699172	NA	NA
"ZINC0003952216"	1.253113828	NA	NA
"ZINC0003952380"	1.280379772	-1.316338404	-0.0359586319999998
"ZINC0003952532"	1.644525605	-0.905500262	0.739025343
"ZINC0003953037"	0.325585409	NA	NA
"ZINC0003954777"	NA	-0.051389387	NA
"ZINC0003954777  "	1.247135166	NA	NA
"ZINC0003954923"	0.800063717	-1.208223103	-0.408159386
"ZINC0003955219"	1.645934245	-0.359517994	1.286416251
"ZINC0003955689"	0.800044588	-0.754138841	0.0459057470000001
"ZINC0003956919"	0.189445363	NA	NA
"ZINC0003959300"	0.601226224	-1.110919333	-0.509693109
"ZINC0003959536"	0.823281562	-0.137881628	0.685399934
"ZINC0003960083"	1.18751506	-0.873065672	0.314449388
"ZINC0003960759"	1.056047354	-0.170316218	0.885731136
"ZINC0003961071"	0.472785862	-0.073012447	0.399773415
"ZINC0003961115"	0.08177134	-0.456821764	-0.375050424
"ZINC0003961758"	1.422298067	-1.348772994	0.0735250730000001
"ZINC0003961849"	0.876540837	NA	NA
"ZINC0003962535"	1.26121359	-0.483850589	0.777363001
"ZINC0003962830"	NA	-0.802790726	NA
"ZINC0003962830  "	1.063471529	NA	NA
"ZINC0003962965"	1.258842932	-0.435198704	0.823644228
"ZINC0003963015"	NA	-0.446010234	NA
"ZINC0003963015  "	1.00325335	NA	NA
"ZINC0003963016"	0.586532583	-0.851442611	-0.264910028
"ZINC0003963610  "	0.970976675	NA	NA
"ZINC0003964126"	0.818473282	-0.651429305	0.167043977
"ZINC0003964325"	0.691821307	-0.791979196	-0.100157889
"ZINC0003964489"	0.418432572	NA	NA
"ZINC0003965738"	0.821853057	-0.062200917	0.75965214
"ZINC0003965853"	0.668525732	NA	NA
"ZINC0003966243"	1.293909261	-1.300121109	-0.00621184799999996
"ZINC0003966253"	NA	-0.083823977	NA
"ZINC0003966253  "	1.490179038	NA	NA
"ZINC0003966291"	0.931484364	NA	NA
"ZINC0003966300"	0.679489199	-0.732515781	-0.053026582
"ZINC00039716080"	1.297483921	-0.58115436	0.716329561
"ZINC00039716080z"	1.395303665	NA	NA
"ZINC0003973984"	1.005056816	-0.921717557	0.0833392589999999
"ZINC0003975392"	0.813765276	NA	NA
"ZINC0003975663"	0.930913608	NA	NA
"ZINC0003975668"	0.747222519	-2.251535754	-1.504313235
"ZINC0003976476"	0.561869022	-1.851509142	-1.28964012
"ZINC0003976838"	1.149240629	-1.619061245	-0.469820616
"ZINC0003977737"	NA	-1.262280754	NA
"ZINC0003977757"	0.190778905	-0.159504688	0.031274217
"ZINC0003977767"	0.176248331	NA	NA
"ZINC0003977785"	0.201676306	-0.705486956	-0.50381065
"ZINC0003977794"	0.485095298	NA	NA
"ZINC0003977871"	0.005675627	-0.208156573	-0.202480946
"ZINC0003977951"	0.500650993	-1.110919333	-0.61026834
"ZINC0003977952"	0.529293496	-0.456821764	0.072471732
"ZINC0003977990"	0.221974801	-0.775761901	-0.5537871
"ZINC0003978005"	NA	-0.029766327	NA
"ZINC0003978006"	0.561757078	NA	NA
"ZINC0003978046  "	0.630478692	NA	NA
"ZINC0003978083"	0.126380313	-0.948746382	-0.822366069
"ZINC0003978503"	1.149154644	-1.289309579	-0.140154935
"ZINC0003978626"	0.161434836	NA	NA
"ZINC0003978650"	0.175624853	-0.045983622	0.129641231
"ZINC0003978794"	0.308356364	-0.651429305	-0.343072941
"ZINC0003978827"	0.034717038	NA	NA
"ZINC0003979155"	0.14352388	-0.770356136	-0.626832256
"ZINC0003979156"	NA	-0.159504688	NA
"ZINC0003982174"	0.552488426	-1.456888295	-0.904399869
"ZINC0003982471"	0.464057776	NA	NA
"ZINC0003984042"	0.559271121	NA	NA
"ZINC0003985346  "	0.796915943	NA	NA
"ZINC0003986227"	0.770797121	NA	NA
"ZINC0003986651  "	0.422383792	NA	NA
"ZINC0003986669"	0.903985136	-1.229846163	-0.325861027
"ZINC0003986735"	NA	-0.894688732	NA
"ZINC0003986735  "	1.174411668	NA	NA
"ZINC0003986763  "	0.58439095	NA	NA
"ZINC0003988917"	0.190714486	-0.208156573	-0.017442087
"ZINC0003989258"	0.677893747	-1.278498049	-0.600604302
"ZINC0003989268  "	0.54781271	NA	NA
"ZINC0003990028"	NA	-0.094635507	NA
"ZINC0003990058"	1.27843218	NA	NA
"ZINC0003990451"	1.2306895	-0.413575644	0.817113856
"ZINC0003990465"	0.758079793	-0.289243048	0.468836745
"ZINC0003990917"	0.102681482	NA	NA
"ZINC0003991693"	1.050128508	NA	NA
"ZINC0003992480"	0.860063448	NA	NA
"ZINC0003993846"	0.840445763	-0.375735289	0.464710474
"ZINC0003993855"	0.420925197	NA	NA
"ZINC0003995320"	1.194717858	-0.964963677	0.229754181
"ZINC0003995332"	0.522814167	-1.186600043	-0.663785876
"ZINC0003995352"	0.476588204	NA	NA
"ZINC0003995401"	0.201926363	-0.024360562	0.177565801
"ZINC0003995405"	0.696562542	-0.959557912	-0.26299537
"ZINC0003995426"	0.570390931	NA	NA
"ZINC0003995438"	0.302622474	-0.273025753	0.029596721
"ZINC0003995483"	0.111729729	NA	NA
"ZINC0003995486"	0.802208259	NA	NA
"ZINC0003995590"	NA	-0.62440048	NA
"ZINC0003995599"	1.314492986	-0.943340617	0.371152369
"ZINC0003995616"	NA	-0.229779633	NA
"ZINC0003995668"	0.145790349	NA	NA
"ZINC0003995726"	0.292837475	NA	NA
"ZINC0003995756"	NA	-0.273025753	NA
"ZINC0003995777"	0.450986127	-0.802790726	-0.351804599
"ZINC0003995845"	0.837738442	-1.273092284	-0.435353842
"ZINC0003995918"	0.604676999	-0.062200917	0.542476082
"ZINC0003995955"	0.444706509	-0.462227529	-0.01752102
"ZINC0003995975"	NA	-0.813602256	NA
"ZINC0003995983"	0.656697984	-1.629872776	-0.973174792
"ZINC0003995991"	1.107945811	-0.878471437	0.229474374
"ZINC0003995996"	0.313622943	-0.273025753	0.04059719
"ZINC0003995998"	0.392704991	-0.483850589	-0.091145598
"ZINC0003996003"	0.43995162	-0.024360562	0.415591058
"ZINC0003996032"	NA	-0.100041272	NA
"ZINC0003996034"	0.13529972	NA	NA
"ZINC0003996041"	0.406893529	-0.186533513	0.220360016
"ZINC0004009"	0.385100456	NA	NA
"ZINC0004016"	NA	-0.159504688	NA
"ZINC00040164410"	1.473424052	-2.224506929	-0.751082877
"ZINC000402771"	0.253485835	-0.359517994	-0.106032159
"ZINC0004028"	NA	-0.694675426	NA
"ZINC000402830"	0.341389939	-1.316338404	-0.974948465
"ZINC000402911"	NA	-0.381141054	NA
"ZINC0004030564"	0.282167554	-0.375735289	-0.093567735
"ZINC000403609"	NA	-0.370329524	NA
"ZINC000403653"	NA	-0.029766327	NA
"ZINC00040379749"	1.044112082	-0.154098923	0.890013159
"ZINC00040379938"	1.081050953	-1.056861682	0.024189271
"ZINC00040393428"	0.313251958	-0.278431518	0.03482044
"ZINC00040403513"	0.51821066	-0.575748595	-0.0575379349999999
"ZINC00040424141"	0.520184765	-1.278498049	-0.758313284
"ZINC00040428900"	NA	-0.754138841	NA
"ZINC00040430143"	1.053053993	-1.51635171	-0.463297717
"ZINC00040442496"	1.276334865	-0.251402693	1.024932172
"ZINC0004046820"	0.316898118	NA	NA
"ZINC000404802"	0.257846197	-1.170382748	-0.912536551
"ZINC0004048240"	0.010659338	-0.110852803	-0.100193465
"ZINC000405331"	NA	-1.002804032	NA
"ZINC00040664622"	1.355249075	-0.521690945	0.83355813
"ZINC0004073949"	0.553855967	-0.364923759	0.188932208
"ZINC0004076"	0.43357058	-0.829819551	-0.396248971
"ZINC0004081043"	0.572389808	-0.094635507	0.477754301
"ZINC0004081122"	0.539807404	NA	NA
"ZINC0004081771"	0.24804271	-0.121664333	0.126378377
"ZINC0004082210"	0.470279866	-0.197345043	0.272934823
"ZINC0004082455"	0.637763877	-1.262280754	-0.624516877
"ZINC00040836075"	NA	-0.051389387	NA
"ZINC0004084618"	0.736736798	-1.008209797	-0.271472999
"ZINC00040848320"	0.68370268	NA	NA
"ZINC00040863182"	0.476484589	-0.467633294	0.00885129500000004
"ZINC00040875741"	0.602879953	NA	NA
"ZINC00040880920"	0.93141628	-1.521757475	-0.590341195
"ZINC00040899447"	1.182751187	-0.429792939	0.752958248
"ZINC00040939534"	0.964318958	NA	NA
"ZINC00040951976"	1.111514767	-1.705553486	-0.594038719
"ZINC0004095531"	0.33515682	-0.62440048	-0.28924366
"ZINC00040955326"	0.635001843	-0.900094497	-0.265092654
"ZINC00040955762"	1.249926426	-2.127203158	-0.877276732
"ZINC0004095645"	NA	-0.446010234	NA
"ZINC0004095717"	0.726884214	-1.321744169	-0.594859955
"ZINC0004095762"	0.33515682	NA	NA
"ZINC0004095858"	0.929726466	-1.294715344	-0.364988878
"ZINC0004096458"	0.568028366	NA	NA
"ZINC0004096671"	0.383046698	-0.067606682	0.315440016
"ZINC0004096672"	0.376296853	-0.229779633	0.14651722
"ZINC0004096712"	0.726884214	-1.435265234	-0.70838102
"ZINC0004096846"	0.634666018	-2.47317212	-1.838506102
"ZINC0004097186"	0.368292647	-0.235185398	0.133107249
"ZINC0004097376"	0.532099335	-0.53790824	-0.00580890500000009
"ZINC0004097383"	0.359355751	-0.051389387	0.307966364
"ZINC0004097416"	0.460978525	-0.213562338	0.247416187
"ZINC0004097440"	0.135833164	-0.110852803	0.024980361
"ZINC0004097448"	NA	-0.208156573	NA
"ZINC0004097467"	0.378800447	-0.073012447	0.305788
"ZINC0004097706"	1.032366815	-0.905500262	0.126866553
"ZINC0004097714"	0.126571634	NA	NA
"ZINC00040977335"	0.693860939	-0.775761901	-0.081900962
"ZINC0004097876"	0.3530426	-0.58115436	-0.22811176
"ZINC00040979326"	1.060015448	-1.262280754	-0.202265306
"ZINC0004098256"	0.068246435	-1.040644387	-0.972397952
"ZINC0004098340"	0.28030382	-0.364923759	-0.084619939
"ZINC0004098512"	0.756983078	-3.44080406	-2.683820982
"ZINC0004098633"	0.847430194	-0.586560125	0.260870069
"ZINC0004098644"	0.208528719	NA	NA
"ZINC0004098704"	0.323881442	NA	NA
"ZINC0004098745"	0.78650488	-1.370396054	-0.583891174
"ZINC0004099009"	0.240273226	NA	NA
"ZINC0004099013"	0.099015944	-0.208156573	-0.109140629
"ZINC0004102166"	0.448873538	-0.618994715	-0.170121177
"ZINC0004102178"	NA	-0.218968103	NA
"ZINC0004102187"	0.555179034	NA	NA
