"nms873"	"n616_ad4_zscore"	"cons"
"ZINC0001490366"	NA	-1.927189852	NA
"ZINC0001490366  "	1.571350341	NA	NA
"ZINC0001490414"	1.263367062	-1.262280754	0.00108630799999987
"ZINC0001490484"	1.136438443	NA	NA
"ZINC0001491485"	1.29603568	-0.802790726	0.493244954
"ZINC0001491943"	NA	-0.127070098	NA
"ZINC0001492396"	0.960640642	NA	NA
"ZINC0001493272"	0.1321964	-0.64602354	-0.51382714
"ZINC0001493298"	1.040712814	-0.354112229	0.686600585
"ZINC0001493878"	1.213070388	-0.49466212	0.718408268
"ZINC0001493890"	0.748811708	NA	NA
"ZINC0001494210"	1.507172099	-0.554125535	0.953046564
"ZINC0001494443"	0.419580767	-1.078484743	-0.658903976
"ZINC0001494627"	0.292837475	-1.186600043	-0.893762568
"ZINC0001494900"	0.915479604	-1.300121109	-0.384641505
"ZINC0001494905"	1.618692458	-0.078418212	1.540274246
"ZINC00014952767"	1.328128992	NA	NA
"ZINC00014953365"	NA	-0.489256355	NA
"ZINC00014960644"	0.59319788	-0.045983622	0.547214258
"ZINC00014961002"	0.719591638	-1.348772994	-0.629181356
"ZINC00014961096"	0.500650993	NA	NA
"ZINC00014966421"	1.548430192	-2.50560671	-0.957176518
"ZINC000149738712"	NA	-0.305460344	NA
"ZINC000149738712  "	0.712947204	NA	NA
"ZINC00014974132"	0.946368576	-1.57040936	-0.624040784
"ZINC00014974428"	1.179185497	-0.60277742	0.576408077
"ZINC00014974583"	0.377028867	-0.278431518	0.098597349
"ZINC00014975027"	0.404408396	-0.008143267	0.396265129
"ZINC00014976393"	0.989103663	-0.727110016	0.261993647
"ZINC00014977637  "	0.67527127	NA	NA
"ZINC00014979644"	NA	-0.013549032	NA
"ZINC00014982453"	0.227759489	-0.008143267	0.219616222
"ZINC000149984972"	NA	-1.646090071	NA
"ZINC000149984972  "	1.302565011	NA	NA
"ZINC000150338646  "	0.393317872	NA	NA
"ZINC000150338703"	NA	-1.878537967	NA
"ZINC000150338703  "	0.568964182	NA	NA
"ZINC000150338709"	NA	-2.159637748	NA
"ZINC000150338709  "	0.175750762	NA	NA
"ZINC000150338726"	NA	-0.359517994	NA
"ZINC000150338726  "	0.184063741	NA	NA
"ZINC000150338755"	NA	-1.862320672	NA
"ZINC000150338755  "	0.362888286	NA	NA
"ZINC000150338833  "	0.470753926	NA	NA
"ZINC000150339044  "	0.582177925	NA	NA
"ZINC000150340663  "	0.63322913	NA	NA
"ZINC000150344347  "	0.685859237	NA	NA
"ZINC000150348023  "	0.470753926	NA	NA
"ZINC000150552"	0.588832578	-0.073012447	0.515820131
"ZINC000150588351"	NA	-3.478644415	NA
"ZINC000150601177  "	0.376066006	NA	NA
"ZINC000150656106"	NA	-1.721770781	NA
"ZINC000150656106  "	1.003524257	NA	NA
"ZINC0001529186"	NA	-0.235185398	NA
"ZINC0001529323"	1.07072929	NA	NA
"ZINC0001529772"	NA	-0.008143267	NA
"ZINC0001530567"	NA	-0.5595313	NA
"ZINC0001530571"	0.861228429	-1.829886082	-0.968657653
"ZINC0001530575"	NA	-0.262214223	NA
"ZINC0001530598"	0.417184703	NA	NA
"ZINC0001530613"	NA	-1.424453704	NA
"ZINC0001530622"	0.249246813	NA	NA
"ZINC0001530636"	NA	-0.575748595	NA
"ZINC0001530668"	0.726695802	NA	NA
"ZINC0001530688"	0.133687306	NA	NA
"ZINC0001530689"	0.437788252	-0.083823977	0.353964275
"ZINC0001530694"	0.758079793	-0.543314005	0.214765788
"ZINC0001530713"	NA	-0.829819551	NA
"ZINC0001530716"	NA	-0.067606682	NA
"ZINC0001530741"	NA	-0.651429305	NA
"ZINC0001530755"	1.195103065	NA	NA
"ZINC0001530756"	NA	-0.002737502	NA
"ZINC0001530757"	NA	-0.440604469	NA
"ZINC0001530761"	0.836925526	-0.59196589	0.244959636
